Date,Time,PA,Width,Linear Speed [km/s],Mass [g],KE [erg],Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Stealth?
1/11/96,0:14:36,267,18,499,,,,,,,,,,,,,yes
1/13/96,22:08:30,265,16,290,,,,,,,,,,,,,yes
1/15/96,7:01:10,262,43,525,,,,,,,,,,,,,yes
1/22/96,3:11:01,105,37,267,7.1e+13*,2.5e+28*,,,,,,,,,,,yes
1/26/96,9:16:19,90,27,262,3.00E+14,1.00E+29,,,,,,,,,,,yes
1/31/96,6:52:13,274,47,158,2.5e+14*,3.2e+28*,,,,,,,,,,,no
2/3/96,0:07:03,83,52,306,1.90E+15,8.90E+29,,,,,,,,,,,no
2/8/96,5:17:49,263,70,184,1.60E+14,2.70E+28,,,,,,,,,,,yes
2/12/96,5:47:26,91,53,160,1.30E+15,1.60E+29,,,,,,,,,,,yes
2/17/96,2:06:31,279,73,317,3.3e+14*,1.6e+29*,,,,,,,,,,,yes
2/17/96,5:18:59,86,36,171,2.1e+14*,3.1e+28*,,,,,,,,,,,yes
2/19/96,5:15:48,98,30,266,1.3e+14*,4.6e+28*,,,,,,,,,,,yes
3/2/96,4:11:53,88,36,108,1.50E+14,8.70E+27,,,,,,,,,,,yes
3/3/96,4:12:30,99,26,186,1.6e+14*,2.8e+28*,,,,,,,,,,,yes
3/6/96,5:38:36,268,55,175,3.6e+13*,5.6e+27*,,,,,,,,,,,yes
3/7/96,1:00:19,57,39,200,3.8e+14*,7.5e+28*,,,,,,,,,,,yes
3/7/96,7:51:56,91,43,60,,,,,,,,,,,,,yes
3/8/96,7:12:03,90,19,170,,,,,,,,,,,,,yes
3/9/96,4:27:49,84,39,93,,,,,,,,,,,,,yes
3/11/96,18:22:39,86,52,244,4.4e+14*,1.3e+29*,,,,,,,,,,,no
3/13/96,2:42:06,105,17,130,,,,,,,,,,,,,yes
3/14/96,9:38:00,101,22,74,,,,,,,,,,,,,yes
3/14/96,11:44:18,285,59,418,1.2e+15*,1.0e+30*,,,,,,,,,,,yes
3/15/96,13:54:27,101,26,222,,,,,,,,,,,,,yes
3/15/96,23:57:34,76,29,71,,,,,,,,,,,,,yes
3/16/96,2:03:38,262,27,65,,,,,,,,,,,,,yes
3/18/96,2:45:52,94,22,,,,,,,,,,,,,,yes
3/18/96,8:33:09,276,25,158,1.3e+14*,1.7e+28*,,,,,,,,,,,yes
3/18/96,16:26:43,257,32,,,,,,,,,,,,,,yes
3/22/96,0:48:44,282,17,142,,,,,,,,,,,,,yes
4/2/96,2:36:21,267,37,192,7.40E+14,1.40E+29,,,,,,,,,,,yes
4/3/96,14:30:40,257,36,,,,,,,,,,,,,,no
4/5/96,6:11:28,273,47,323,1.3e+15*,6.7e+29*,,,,,,,,,,,yes
4/6/96,0:51:12,268,37,293,8.8e+13*,3.8e+28*,,,,,,,,,,,yes
4/7/96,6:59:24,258,42,324,4.30E+14,2.30E+29,,,,,,,,,,,yes
4/8/96,1:03:21,266,29,314,2.2e+12*,1.1e+27*,,,,,,,,,,,yes
4/8/96,4:12:26,258,15,124,,,,,,,,,,,,,yes
4/8/96,7:53:42,105,22,128,,,,,,,,,,,,,yes
4/11/96,11:17:09,88,49,272,,,,,,,,,,,,,yes
4/12/96,4:45:24,275,57,100,5.2e+14*,2.6e+28*,,,,,,,,,,,yes
